x_mm,y_mm,z_mm,r_mm,nx,ny,nz,dist_to_interface_mm,RDM_pct,MAG_pct
-36.063,-21.504,-62.145,75.0,0.0,1.0,0.0,3.0,3.09416,2.9565
-36.063,-21.504,-62.145,75.0,0.0,0.0,1.0,3.0,4.2156,1.13226
-36.063,-21.504,-62.145,75.0,-0.4808,-0.2867,-0.8286,3.0,4.72079,-2.13686
-62.277,30.728,28.327,75.0,1.0,0.0,0.0,3.0,2.46418,5.92616
-62.277,30.728,28.327,75.0,0.0,1.0,0.0,3.0,5.19043,6.23458
-62.277,30.728,28.327,75.0,0.0,0.0,1.0,3.0,3.60362,3.74151
-62.277,30.728,28.327,75.0,-0.8304,0.4097,0.3777,3.0,3.66068,7.04452
43.0,-25.065,56.105,75.0,1.0,0.0,0.0,3.0,4.04028,5.29487
43.0,-25.065,56.105,75.0,0.0,1.0,0.0,3.0,3.82311,8.19575
43.0,-25.065,56.105,75.0,0.0,0.0,1.0,3.0,2.62126,-2.30758
43.0,-25.065,56.105,75.0,0.5733,-0.3342,0.7481,3.0,2.06077,1.28621
