x_mm,y_mm,z_mm,r_mm,nx,ny,nz,dist_to_interface_mm,RDM_pct,MAG_pct
1.829,74.648,7.028,75.0,0.0,1.0,0.0,3.0,1.75588,5.403
1.829,74.648,7.028,75.0,0.0,0.0,1.0,3.0,1.90069,6.73298
1.829,74.648,7.028,75.0,0.0244,0.9953,0.0937,3.0,1.43928,5.38041
-36.063,-21.504,-62.145,75.0,1.0,0.0,0.0,3.0,1.84544,4.30991
-36.063,-21.504,-62.145,75.0,0.0,1.0,0.0,3.0,3.06127,3.87756
-36.063,-21.504,-62.145,75.0,0.0,0.0,1.0,3.0,1.69518,6.42388
-36.063,-21.504,-62.145,75.0,-0.4808,-0.2867,-0.8286,3.0,1.83382,6.10731
-62.277,30.728,28.327,75.0,1.0,0.0,0.0,3.0,2.71889,9.59601
-62.277,30.728,28.327,75.0,0.0,1.0,0.0,3.0,1.48764,6.15727
-62.277,30.728,28.327,75.0,0.0,0.0,1.0,3.0,3.65733,7.27272
-62.277,30.728,28.327,75.0,-0.8304,0.4097,0.3777,3.0,3.86737,8.2928
43.0,-25.065,56.105,75.0,1.0,0.0,0.0,3.0,3.80709,2.08332
43.0,-25.065,56.105,75.0,0.0,1.0,0.0,3.0,4.41212,6.36866
43.0,-25.065,56.105,75.0,0.0,0.0,1.0,3.0,1.53667,7.99767
43.0,-25.065,56.105,75.0,0.5733,-0.3342,0.7481,3.0,0.57617,7.66847
