x_mm,y_mm,z_mm,r_mm,nx,ny,nz,dist_to_interface_mm,RDM_pct,MAG_pct
34.697,-21.355,62.969,75.0,0.0,1.0,0.0,3.0,1.31273,6.16094
34.697,-21.355,62.969,75.0,0.0,0.0,1.0,3.0,1.86657,11.39556
34.697,-21.355,62.969,75.0,0.4626,-0.2847,0.8396,3.0,1.67214,9.79476
-56.655,-28.384,40.12,75.0,1.0,0.0,0.0,3.0,1.92533,2.37179
-56.655,-28.384,40.12,75.0,0.0,1.0,0.0,3.0,1.47899,5.45801
-56.655,-28.384,40.12,75.0,0.0,0.0,1.0,3.0,1.44501,5.30532
-56.655,-28.384,40.12,75.0,-0.7554,-0.3785,0.5349,3.0,0.96293,3.64244
1.829,74.648,7.028,75.0,1.0,0.0,0.0,3.0,2.7466,6.99205
1.829,74.648,7.028,75.0,0.0,1.0,0.0,3.0,1.8732,5.49155
1.829,74.648,7.028,75.0,0.0,0.0,1.0,3.0,1.45764,6.32618
1.829,74.648,7.028,75.0,0.0244,0.9953,0.0937,3.0,1.61142,5.61053
-36.063,-21.504,-62.145,75.0,1.0,0.0,0.0,3.0,0.6824,5.17213
-36.063,-21.504,-62.145,75.0,0.0,1.0,0.0,3.0,2.07388,3.77316
-36.063,-21.504,-62.145,75.0,0.0,0.0,1.0,3.0,1.29754,4.83678
-36.063,-21.504,-62.145,75.0,-0.4808,-0.2867,-0.8286,3.0,1.42776,4.67403
-62.277,30.728,28.327,75.0,1.0,0.0,0.0,3.0,2.07485,5.47058
-62.277,30.728,28.327,75.0,0.0,1.0,0.0,3.0,0.88709,5.66674
-62.277,30.728,28.327,75.0,0.0,0.0,1.0,3.0,4.73444,3.29854
-62.277,30.728,28.327,75.0,-0.8304,0.4097,0.3777,3.0,3.8557,3.65772
43.0,-25.065,56.105,75.0,1.0,0.0,0.0,3.0,3.44169,3.09502
43.0,-25.065,56.105,75.0,0.0,1.0,0.0,3.0,4.27696,7.09695
43.0,-25.065,56.105,75.0,0.0,0.0,1.0,3.0,3.40633,5.82527
43.0,-25.065,56.105,75.0,0.5733,-0.3342,0.7481,3.0,2.153,7.40197
