electrode,muscle,lf_absE,lf_median,lf_min,lf_max,envelope_db,lf_pca,pca_dominance,fibre_model,n_elements
cg07,mentalis,0.09572930571225348,0.050051337434358426,0.008193861698934391,0.0816548419560434,19.969866263487777,0.07806896502877339,2.174,pca,3226
cg07,depressor_anguli_oris,0.15957083178467268,0.08621352671485549,0.025824024793899805,0.11583660669059004,13.036437936696515,,,isotropic,13347
cg07,platysma,0.19497408240520409,0.08173462502995923,0.03673596334398691,0.1609916378249461,12.83423771205637,,,isotropic,37401
cg07,sternocleidomastoid,0.29528962654005547,0.13190422612683245,0.03968627224065041,0.20212599879814103,14.139637434636438,0.15423769918989397,1.724,pca,45844
cg08,masseter,0.27600999269167364,0.12892963601363597,0.07630146594010473,0.18110292839796535,7.50785181835763,,,isotropic,32633
cg08,temporalis,0.20428860679082364,0.09506926584886771,0.03436567657355639,0.16536433515839874,13.646339013058297,,,isotropic,200000
cg08,medial_pterygoid,0.28744149565907406,0.12949896720992335,0.07362102104937113,0.18149103279244477,7.837066713305381,0.17887493086913087,2.536,pca,18993
cg08,lateral_pterygoid,0.2000776941848312,0.09954706214977385,0.04226164615150694,0.17487995986674434,12.33587271005705,,,isotropic,16134
cg08,orbicularis_oris,0.22593655209624094,0.10566690441346699,0.0292370965676143,0.19428705026620594,16.450192250663466,,,isotropic,25336
cg08,buccinator,0.2858786635833124,0.13081987253425642,0.028978210602790024,0.24517676298376911,18.548154849217905,,,isotropic,17789
cg08,mentalis,0.11824494179806463,0.06170766043874276,0.01051855338017558,0.10079038307468297,19.629261611159826,0.09620563336246642,2.174,pca,3226
cg08,depressor_anguli_oris,0.20023843077549933,0.10712099485568582,0.031674249533676785,0.1452061510401545,13.225573599315755,,,isotropic,13347
cg08,platysma,0.2394080227872384,0.09973697336989339,0.038875726336454926,0.197126418756199,14.101326315518163,,,isotropic,37401
cg08,sternocleidomastoid,0.3497822586039121,0.15103484733271638,0.04769594531932914,0.23634199545445184,13.90118874392762,0.18990184263047005,1.724,pca,45844
cg09,masseter,0.288454944320044,0.13858081741685607,0.08686304842595065,0.18202016591587722,6.425688784137165,,,isotropic,32633
cg09,temporalis,0.21102301071990673,0.09936570458979721,0.03826817796716896,0.1741761376665271,13.163017418091167,,,isotropic,200000
cg09,medial_pterygoid,0.2977935064119658,0.1357209555220107,0.07669713047260815,0.189941841642521,7.876830577274587,0.1853920862916752,2.536,pca,18993
cg09,lateral_pterygoid,0.2170331852962924,0.108155446450545,0.04845584629130904,0.195594180581441,12.120194925527256,,,isotropic,16134
cg09,orbicularis_oris,0.24562220261060966,0.11444986646204422,0.030410308734884345,0.20993355747325654,16.781220720117368,,,isotropic,25336
cg09,buccinator,0.3113557608274085,0.14442350222287909,0.031587631315043,0.26620379554345314,18.51394366006418,,,isotropic,17789
cg09,mentalis,0.12949417170556743,0.06756684742632829,0.011870797437026886,0.11019708991519629,19.35380463117862,0.10593046942639074,2.174,pca,3226
cg09,depressor_anguli_oris,0.2250684988475622,0.1174256780886053,0.034535002847560725,0.16039686879195023,13.338727794876544,,,isotropic,13347
