electrode,montage,muscle,dist_mm
midjaw,jaw,medial_pterygoid,37.053
cg01,ceegrid,medial_pterygoid,71.021
cg02,ceegrid,medial_pterygoid,77.698
cg03,ceegrid,medial_pterygoid,81.378
cg04,ceegrid,medial_pterygoid,75.901
cg05,ceegrid,medial_pterygoid,72.276
cg06,ceegrid,medial_pterygoid,62.223
cg07,ceegrid,medial_pterygoid,48.023
cg08,ceegrid,medial_pterygoid,36.608
cg09,ceegrid,medial_pterygoid,32.391
cg10,ceegrid,medial_pterygoid,30.414
earlobe_contra,reference,medial_pterygoid,28.935
earlobe_ipsi,reference,medial_pterygoid,33.442
pre_tragus,ear,lateral_pterygoid,14.452
above_ear,ear,lateral_pterygoid,36.498
mastoid,ear,lateral_pterygoid,27.356
post_lobule,ear,lateral_pterygoid,27.549
mental,jaw,lateral_pterygoid,75.022
submental_mid,jaw,lateral_pterygoid,69.148
submental_lat,jaw,lateral_pterygoid,72.645
submaxillary,jaw,lateral_pterygoid,56.658
hyoid,jaw,lateral_pterygoid,60.941
buccal,jaw,lateral_pterygoid,46.749
midjaw,jaw,lateral_pterygoid,33.647
cg01,ceegrid,lateral_pterygoid,34.772
cg02,ceegrid,lateral_pterygoid,39.791
cg03,ceegrid,lateral_pterygoid,45.14
cg04,ceegrid,lateral_pterygoid,42.759
cg05,ceegrid,lateral_pterygoid,42.388
cg06,ceegrid,lateral_pterygoid,39.077
cg07,ceegrid,lateral_pterygoid,32.548
cg08,ceegrid,lateral_pterygoid,27.443
cg09,ceegrid,lateral_pterygoid,23.82
cg10,ceegrid,lateral_pterygoid,14.045
earlobe_contra,reference,lateral_pterygoid,20.924
earlobe_ipsi,reference,lateral_pterygoid,17.614
pre_tragus,ear,orbicularis_oris,81.755
above_ear,ear,orbicularis_oris,119.703
mastoid,ear,orbicularis_oris,115.71
post_lobule,ear,orbicularis_oris,102.485
mental,jaw,orbicularis_oris,17.567
submental_mid,jaw,orbicularis_oris,23.671
submental_lat,jaw,orbicularis_oris,26.466
submaxillary,jaw,orbicularis_oris,29.825
hyoid,jaw,orbicularis_oris,50.762
buccal,jaw,orbicularis_oris,21.85
midjaw,jaw,orbicularis_oris,57.881
cg01,ceegrid,orbicularis_oris,108.016
cg02,ceegrid,orbicularis_oris,122.173
cg03,ceegrid,orbicularis_oris,132.701
cg04,ceegrid,orbicularis_oris,132.56
cg05,ceegrid,orbicularis_oris,132.911
cg06,ceegrid,orbicularis_oris,127.518
cg07,ceegrid,orbicularis_oris,115.79
cg08,ceegrid,orbicularis_oris,103.016
cg09,ceegrid,orbicularis_oris,93.477
cg10,ceegrid,orbicularis_oris,80.987
earlobe_contra,reference,orbicularis_oris,85.874
earlobe_ipsi,reference,orbicularis_oris,90.084
pre_tragus,ear,buccinator,50.571
above_ear,ear,buccinator,84.777
mastoid,ear,buccinator,72.091
post_lobule,ear,buccinator,57.781
mental,jaw,buccinator,34.759
submental_mid,jaw,buccinator,34.873
submental_lat,jaw,buccinator,29.283
submaxillary,jaw,buccinator,19.924
hyoid,jaw,buccinator,45.442
buccal,jaw,buccinator,10.776
midjaw,jaw,buccinator,29.575
cg01,ceegrid,buccinator,77.225
cg02,ceegrid,buccinator,87.831
cg03,ceegrid,buccinator,95.333
cg04,ceegrid,buccinator,92.31
cg05,ceegrid,buccinator,90.548
cg06,ceegrid,buccinator,83.569
cg07,ceegrid,buccinator,70.806
cg08,ceegrid,buccinator,58.309
cg09,ceegrid,buccinator,49.81
cg10,ceegrid,buccinator,39.537
earlobe_contra,reference,buccinator,50.096
earlobe_ipsi,reference,buccinator,47.335
pre_tragus,ear,mentalis,107.377
above_ear,ear,mentalis,145.022
mastoid,ear,mentalis,130.468
post_lobule,ear,mentalis,113.332
mental,jaw,mentalis,5.143
submental_mid,jaw,mentalis,10.37
submental_lat,jaw,mentalis,10.552
submaxillary,jaw,mentalis,24.642
hyoid,jaw,mentalis,43.696
buccal,jaw,mentalis,31.988
midjaw,jaw,mentalis,72.759
cg01,ceegrid,mentalis,135.852
cg02,ceegrid,mentalis,148.004
cg03,ceegrid,mentalis,156.207
cg04,ceegrid,mentalis,152.816
cg05,ceegrid,mentalis,149.864
cg06,ceegrid,mentalis,141.339
cg07,ceegrid,mentalis,127.2
cg08,ceegrid,mentalis,113.954
cg09,ceegrid,mentalis,105.629
cg10,ceegrid,mentalis,96.319
earlobe_contra,reference,mentalis,101.518
earlobe_ipsi,reference,mentalis,104.544
pre_tragus,ear,depressor_anguli_oris,84.572
above_ear,ear,depressor_anguli_oris,122.94
mastoid,ear,depressor_anguli_oris,104.061
post_lobule,ear,depressor_anguli_oris,85.435
mental,jaw,depressor_anguli_oris,5.404
submental_mid,jaw,depressor_anguli_oris,5.592
submental_lat,jaw,depressor_anguli_oris,7.436
submaxillary,jaw,depressor_anguli_oris,4.386
hyoid,jaw,depressor_anguli_oris,30.252
buccal,jaw,depressor_anguli_oris,10.057
midjaw,jaw,depressor_anguli_oris,49.242
cg01,ceegrid,depressor_anguli_oris,113.595
cg02,ceegrid,depressor_anguli_oris,125.951
cg03,ceegrid,depressor_anguli_oris,134.858
cg04,ceegrid,depressor_anguli_oris,129.546
cg05,ceegrid,depressor_anguli_oris,124.416
cg06,ceegrid,depressor_anguli_oris,114.23
cg07,ceegrid,depressor_anguli_oris,99.45
cg08,ceegrid,depressor_anguli_oris,86.085
cg09,ceegrid,depressor_anguli_oris,78.487
cg10,ceegrid,depressor_anguli_oris,72.164
earlobe_contra,reference,depressor_anguli_oris,65.851
earlobe_ipsi,reference,depressor_anguli_oris,78.983
pre_tragus,ear,platysma,81.735
above_ear,ear,platysma,107.374
mastoid,ear,platysma,71.259
post_lobule,ear,platysma,51.674
mental,jaw,platysma,5.911
submental_mid,jaw,platysma,7.908
submental_lat,jaw,platysma,3.005
submaxillary,jaw,platysma,5.022
hyoid,jaw,platysma,7.773
buccal,jaw,platysma,26.083
midjaw,jaw,platysma,41.94
cg01,ceegrid,platysma,107.058
cg02,ceegrid,platysma,110.872
cg03,ceegrid,platysma,110.28
cg04,ceegrid,platysma,99.756
cg05,ceegrid,platysma,90.185
cg06,ceegrid,platysma,77.201
cg07,ceegrid,platysma,62.3
cg08,ceegrid,platysma,52.231
cg09,ceegrid,platysma,50.82
cg10,ceegrid,platysma,53.891
earlobe_contra,reference,platysma,54.693
earlobe_ipsi,reference,platysma,56.129
pre_tragus,ear,sternocleidomastoid,48.091
above_ear,ear,sternocleidomastoid,51.777
mastoid,ear,sternocleidomastoid,12.807
post_lobule,ear,sternocleidomastoid,4.156
mental,jaw,sternocleidomastoid,86.862
submental_mid,jaw,sternocleidomastoid,71.669
submental_lat,jaw,sternocleidomastoid,65.399
submaxillary,jaw,sternocleidomastoid,45.958
hyoid,jaw,sternocleidomastoid,39.915
buccal,jaw,sternocleidomastoid,69.646
midjaw,jaw,sternocleidomastoid,55.306
cg01,ceegrid,sternocleidomastoid,56.511
cg02,ceegrid,sternocleidomastoid,55.114
cg03,ceegrid,sternocleidomastoid,49.749
cg04,ceegrid,sternocleidomastoid,35.879
cg05,ceegrid,sternocleidomastoid,23.965
cg06,ceegrid,sternocleidomastoid,11.245
cg07,ceegrid,sternocleidomastoid,2.504
cg08,ceegrid,sternocleidomastoid,4.033
cg09,ceegrid,sternocleidomastoid,12.041
cg10,ceegrid,sternocleidomastoid,25.671
earlobe_contra,reference,sternocleidomastoid,15.431
earlobe_ipsi,reference,sternocleidomastoid,16.838
