electrode,muscle,condition,mesh,lead_field,db_rel_best_jaw
earlobe_ipsi,medial_pterygoid,iso,truncated,0.1339702306300914,-1.5016
earlobe_ipsi,lateral_pterygoid,iso,truncated,0.111987395860104,0.6323
earlobe_ipsi,orbicularis_oris,iso,truncated,0.1153356757164645,-9.5829
earlobe_ipsi,buccinator,iso,truncated,0.1433800364598711,-10.5317
earlobe_ipsi,mentalis,iso,truncated,0.0662843048883796,-22.5928
earlobe_ipsi,depressor_anguli_oris,iso,truncated,0.115408061706949,-14.7861
earlobe_ipsi,platysma,iso,truncated,0.1022198916573021,-10.5613
earlobe_ipsi,sternocleidomastoid,iso,truncated,0.1263876703334402,0.9912
hyoid,masseter,iso,truncated,0.1114736870797306,-3.7351
hyoid,temporalis,iso,truncated,0.0492165253081612,-6.7006
hyoid,medial_pterygoid,iso,truncated,0.1592535699017447,0.0
hyoid,lateral_pterygoid,iso,truncated,0.0890399601441876,-1.3594
hyoid,orbicularis_oris,iso,truncated,0.101601751424331,-10.6842
hyoid,buccinator,iso,truncated,0.1490417135893913,-10.1953
hyoid,mentalis,iso,truncated,0.1619687824525506,-14.8324
hyoid,depressor_anguli_oris,iso,truncated,0.2192872068816381,-9.2105
hyoid,platysma,iso,truncated,0.344827024563671,0.0
hyoid,sternocleidomastoid,iso,truncated,0.1127571082058194,0.0
mastoid,masseter,iso,truncated,0.098148466081733,-4.8409
mastoid,temporalis,iso,truncated,0.0945948322389643,-1.0255
mastoid,medial_pterygoid,iso,truncated,0.1080965347771096,-3.3655
mastoid,lateral_pterygoid,iso,truncated,0.0902401847495963,-1.2431
mastoid,orbicularis_oris,iso,truncated,0.0848347320631928,-12.2507
mastoid,buccinator,iso,truncated,0.104750444228407,-13.2583
mastoid,mentalis,iso,truncated,0.0485424534449696,-25.2986
mastoid,depressor_anguli_oris,iso,truncated,0.0840520384963529,-17.5398
mastoid,platysma,iso,truncated,0.0769727122114769,-13.0253
mastoid,sternocleidomastoid,iso,truncated,0.1149701648200715,0.1688
mental,masseter,iso,truncated,0.1713668145363567,0.0
mental,temporalis,iso,truncated,0.068474178428738,-3.8323
mental,medial_pterygoid,iso,truncated,0.1302689632469564,-1.745
mental,lateral_pterygoid,iso,truncated,0.0866983976989869,-1.5909
mental,orbicularis_oris,iso,truncated,0.3476249283488664,0.0
mental,buccinator,iso,truncated,0.4820286261367513,0.0
mental,mentalis,iso,truncated,0.893409499833611,0.0
mental,depressor_anguli_oris,iso,truncated,0.6331976472814373,0.0
mental,platysma,iso,truncated,0.333186859840993,-0.2983
mental,sternocleidomastoid,iso,truncated,0.0788725492448426,-3.1044
midjaw,masseter,iso,truncated,0.1503204471496311,-1.1382
midjaw,temporalis,iso,truncated,0.1064492616222727,0.0
midjaw,medial_pterygoid,iso,truncated,0.128331309502411,-1.8751
midjaw,lateral_pterygoid,iso,truncated,0.1041252423775174,0.0
midjaw,orbicularis_oris,iso,truncated,0.1824423219783565,-5.5997
midjaw,buccinator,iso,truncated,0.1694532021543564,-9.0805
